
@relation train
@attribute text String
@attribute Sentiment {negetive,neutral,positive}

@data
'Lexusgs: I hope the definition of a demeanor is now clear as day, I had to run my research sir. Clear as day. I'm definitely a demeanor.',negetive
'Ikenna: You car transmission is likely the culprit. Auto transmission  right? Ikenna yes its auto transmission.',negetive
'nissparts: What's the code? whats code sir',negetive
'AboHani: Hi I had lost the radio code card for my Honda CR-V  VIN: JREL S/N:  Email: hamzehbg@gmail.com Can you plz send me the radio code. Thanks You got a mail.',negetive
'nissparts: A member asks if Valvoline maxlife CVT fluid is a good substitute for NS  fluid  I reply that it is not and that no alternatives should ever be used for NS. You delete the question and leave my answer. Where is the sale in all this exactly?? Please  let's not derail this thread. Post your complaint in the Car Talk complaint Thread and i will explain why those posts were hiddn. Thanks. http://www.nairaland.com//comments-complaints-suggestions/ Moderator',negetive
'twins: gazzuzz please can i get a new knock sensor for my Lexus RX   model. and at what cost Procurement and installation (brand new k) Procurement and installation toks',negetive
'Hello house My sienna was emitting black smoke from the exhaust so i took it for scanning. this were the results: P: Generic system too lean back P: Knock sensor  circuit back  or single sensor P: Toyota air fuel sensor performance (bank) Please can some  interpret the meaning of this codes. and the check light is on. thanks',negetive
'Costee: Am I missing something here? How do bad cats come into this saga? Your codes do not show bad cats. They are all related to your oxygen sensors: they're either bad or the connections are shorted. Only one sensor appears to be free  BS. You have two cats  might as well gut them for now. The only thing I find puzzling though is that the code P is not applicable to the VK engine that yours is since you have an FX. Maybe it's of little consequence. Dunno. Or maybe the new ECM... Out of curiosity  what's your VIN? JNRBSWX. Just what I noticed also before this time was fumes coming out from under the hood of the car after a long drive.',negetive
'@drumma cf. the above post.',negetive
'dumo: i have been doing vigil on this thread since pm waiting for oga Shagati to come and update us with pics of parts o!!With a friend like you  one doesn't need a monitoring spirit',negetive
'Check our New Skoda Octavia RS Model',negetive
'Osama: The grounds were all checked with the first mechanic & the present mechanic confirmed the alternator gives .- volts. Yeah the number is Q MEC - B . CODES : P  P  P  P  P  P & P.I have a TSB on this issue. Though it's for FX I think you should check it out. If you can't post your email address here send it to  and I'll forward it to you. Confirm that the grounds were checked as stated in the bulletin.',negetive
'Have you ever lifted the hood of your car and noticed a label calling out specifications for your mobile A/C system? Did you ever wonder why it was there? Your carâ€™s manufacturer put that label in the engine compartment in compliance with a standard set by SAE International. It is SAE â€œJâ€ standard .The label is also required by some regulatory state and federal authorities. Avoid removing this label from your car. Look closely at the label photograph above. Notice the label recommends professional service for the air conditioning system. There are two basic reasons for professional service  first a personal safety concern as the system is under pressure and can cause injury and second the refrigerant charge and refrigerant lubricant amount are critical to system performance. Notice it identifies the refrigerant in this particular vehicle as HFC-a and tells the service professional the refrigerant capacity in both ounces and grams. It also calls out the plus (+)  minus (-) tolerance  this means the sytem will still function properly within this range of over/under refrigerant charge. Look to the far right of the label  in this column the type of compressor lubricant is called out for the service technician so he knows exactly what type and how much to add to the system.',negetive
'cyborg: Thumbs up. The lights have not arrived? Day too far gone. A bit of time was spent trying to remove rusted bolts. Was not in the mood anymore for cosmetics. Another day definitely',negetive
'Hello Team  Please my family had a plan of buying  sienna but has been discouraged by the price a dealer advised(neighbourhood of N.M) . We saw a suggestion on-line that Nissan Quest  model can deliver similar utility like that of Sienna  more-so that it's 'thrice' cheaper than Sienna. How tenable is the above ? Many thanks.',negetive
'kulikuli: ..... w coupe project loading. All advice and inputs are welcome. Only one advice from me.....dash me the car',negetive
'deathwing: Ah. Still holding up at months? Yes  held up for the  months I had it till I sold in June  Lovely! What did this cost you (Nk in March ) and where is this place (Ikeja  Lagos) make i save am for future purpose? Approval is granted. Just drop somethinhg for the boys on your way out xfay: . Pls answer this In bold above',negetive
'That's good to hear your car is back to life. Try to run that car for km & see whether any lights come up again. So am left behind in this wahala now.',negetive
'WHEN TO REPLACE YOUR CABIN AIR FILTER The cabin air filter is a feature found on most  model vehicles  cleans the air that comes into the interior through the heating  ventilation and air-conditioning system. It catches dust  pollen and other airborne material that can make riding in a car unpleasant  particularly if you have allergies or other respiratory problems. Manufacturer recommend every   or   miles  others longer â€” and how often can depend on how much you drive and area where there is lot of dust. Some signs that you need a new cabin air filter are reduced air flow through your climate control system  such as when you crank up the fan too high and get more noise than results. Another is persistent bad odors. Even if you don't have these warnings  you should have the filter checked at least every  month  and you may be able to do that yourself. Depending on how long the filter has been in service  you might be shocked at what you see: leaves  twigs  insects  soot and grime that literally cover the entire surface that comes in contact with incoming air and also your evaporator coil  before you know it the leaves and insect will stick on your evaporator coil after some while the coil will be weak then it will start leaking. Here is a picture of what damage the LEXUS RX evaporator  just changed it today.',negetive
'eaglechild: I have  maxima which i got six years ago. I love the car and i'm attached to it. I changed the timing chain last year and it has been performing like a  cylinder instead of a v. I want to change the engine  any idea of the cost of a top grade one. Do i also need to change the gear box? It is not giving any probs though. I have a camry but i find it boring. I need my maxima back till i can get a new one. Actually thinking of switching to a .L V Altima. STOP STOP STOP. Converting from maxima . to . is a big headache and not an easy job. Buy your engine and drop it in. Why did you change the timing chain? it is a life time item. I have owned couple of that maximas and i never did a timing chain. I had one with   km and regularly drive from canada to the states. That . engine is a very good engine and lasts for a long time if well maintained',negetive
'webmaster: Just got  Infinity FX. Mehn the ride is wicked and fast!!!! Wetin you go talk about FX now?',negetive
'Shagati: NiceOga Shagati should we be expecting the replacement parts this week?',negetive
'Thank you very much for your advice. I appreciate. nissparts: Check engine light has nothing to do with changing engine oil (mostly) You need a diagnostic scanner to detect what the check light is coming on for and only a fix would turn it off. Smelling oil through the vents is a bad sign. I hope the engine oil was not overfilled. ABS light also means there is a fault with the braking system. A scanner can also point out exactly where the issue is. I strongly recommend you download the user and service manual for the Murano and learn as much as you can about the vehicle. It does not take kindly to novice errors.',neutral
'Hello friends  good evening to you all. please I have a Tokumbo Ford Galaxy silver ray that I bought for commercial purposes. The driver I got wants to ply Onitsha to Abuja  Kano and other northern states. We had an agreement that I would be responsible for the car maintenance while he remits k to me on weekly basis. On second thought  I felt cheated and decided to ask if k is good for such a car that travels far north. note: It carries  persons and charges N  per head. Thanks in anticipation!',neutral
'kingreign: Buy more Toyotas joor.I know toyata can be very economical and simple to handle but some other machines like BMW and Benz can offer more what do you think?',neutral
'ReadoneeL: It won't cause any balance. It's called Staggered Wheels. The front wheels are a little smaller with bigger tyres. The rear wheels are bigger with small tyres . All tyres are the same in length. So the car will still ride smoothly. But don't run Staggered wheels on Awd. It will damage your tranny or drive shaftLearnt something today. Thank you sir for taking time out to explain.',neutral
'Shagati: Welcome back from hibernation sir. Thank you Sir.',neutral
'@ Shagati Order on point. we are waiting for the parts to arrive so the bmw will have a new look. I hope shipping those parts didn't break your bank?',neutral
'Hi Please I bought an infiniti M  and want to have it registered here in Nigeria and I have the VIN number but they are requesting for the Engine number before they can register and give me a plate number. Just want to know does this new cars come with engine number because the engine capartment is so sofisticated I dont even know what to touch or remove. Please I need this information.',neutral
'Pls how much would it cost to build an AC system in a Nissan almera  model and any recommended technician in pH. thanks',neutral
'Dear Nairalanders.. I have a nissan sentra  model  but i have been having issues with the ignition coil. I have changed the coil several times. last week i changed all the  ignitions coils and three days later two of them went bad. please anyone with any idea on how i can have a permanent fix of this problem.',neutral
'Namzy: How do we know the type of oil and quantity. My  honda accord i compressor I bought and used for a week heat up and burnt the clutch. The former compressor leaked through the pipe with the oil and burnt very badly needing a new one. Nowthe latest one burnt but I think it's only the clutch that's affected. Pls what's the oil type and quantity. The last was using green oil and new one transparent oil was used. And we can't find someone profess thats can vaccum here at anambra NnewiUse ND  or pag  for the lubricant oil and for the gas quantity is between -gram max.seems the technical doesn't have vacuum machine let him fill the gas without starting the car .',neutral
'Chelseafan: Bro  what about some of us that need your services in far away Ife  Osun state.? No wahala all you need to pay is my transportation and out of station allowance.',neutral
