@relation train
@attribute text String
@attribute Sentiment {negative,neutral,positive}

@data
' Great car product, i really need one like this ',positive
'Does the car spare parts easy to get in Asaba',neutral
'Very very bad car',negative
'please can i get a new knock sensor for my car',positive
'the car properties are actually good',positive
'useless car',negative
'Just got  Infinity FX. Mehn the ride is wicked and fast',negative
'Hello friends  good evening to you all. please I have a Tokumbo Ford Galaxy silver ray that I bought for commercial purposes. The driver I got wants to ply Onitsha to Abuja  Kano and other northern states. We had an agreement that I would be responsible for the car maintenance while he remits k to me on weekly basis. On second thought  I felt cheated and decided to ask if k is good for such a car that travels far north. note: It carries  persons and charges N  per head. Thanks in anticipation',neutral
'i just love this car',positive
'try to estimate the efficiency of its engine',neutral
'Sienna for sell, its clean and has low milage',neutral
'we should not forget avalon, the car is spacious and very comfortable',positive
'Pls i need advice for vw passat  model. i intend buying a nigerian used one and the owner said it has gear relay fault. what does that mean and what re the other peculiar issues with this car? thanks Yes it is a peculiar issue cos they keep feeding the car the wrong transmission oil. Find another car',positive
'Please how much is a clean  tokunbo Rav Anybody with an idea',positive
'How does this kinda accord customized headlight gonna cost',neutral
'Happy New Year',positive
'Whats the code',neutral
'How do we know the type of oil and quantity. My  honda accord i compressor I bought and used for a week heat up and burnt the clutch. The former compressor leaked through the pipe with the oil and burnt very badly needing a new one. Nowthe latest one burnt but I think its only the clutch thats affected. Pls whats the oil type and quantity. The last was using green oil and new one transparent oil was used. And we cant find someone profess thats can vaccum here at anambra NnewiUse ND  or pag  for the lubricant oil and for the gas quantity is between -gram max.seems the technical doesnt have vacuum machine let him fill the gas without starting the car.',neutral
'Lexusgs: I hope the definition of a demeanor is now clear as day, I had to run my research sir. Clear as day. Im definitely a demeanor.',negative
'Ikenna: You car transmission is likely the culprit. Auto transmission  right? Ikenna yes its auto transmission.',negative
'nissparts: Whats the code? whats code sir',negative
'AboHani: Hi I had lost the radio code card for my Honda CR-V  VIN: JREL S/N:  Email: hamzehbg@gmail.com Can you plz send me the radio code. Thanks You got a mail.',negative
'nissparts: A member asks if Valvoline maxlife CVT fluid is a good substitute for NS  fluid  I reply that it is not and that no alternatives should ever be used for NS. You delete the question and leave my answer. Where is the sale in all this exactly?? Please  lets not derail this thread. Post your complaint in the Car Talk complaint Thread and i will explain why those posts were hiddn. Thanks. http://www.nairaland.com//comments-complaints-suggestions/ Moderator',negative
'twins: gazzuzz please can i get a new knock sensor for my Lexus RX   model. and at what cost Procurement and installation (brand new k) Procurement and installation toks',negative
'Hello house My sienna was emitting black smoke from the exhaust so i took it for scanning. this were the results: P: Generic system too lean back P: Knock sensor  circuit back  or single sensor P: Toyota air fuel sensor performance (bank) Please can some  interpret the meaning of this codes. and the check light is on. thanks',negative
'Costee: Am I missing something here? How do bad cats come into this saga? Your codes do not show bad cats. They are all related to your oxygen sensors: theyre either bad or the connections are shorted. Only one sensor appears to be free  BS. You have two cats  might as well gut them for now. The only thing I find puzzling though is that the code P is not applicable to the VK engine that yours is since you have an FX. Maybe its of little consequence. Dunno. Or maybe the new ECM... Out of curiosity  whats your VIN? JNRBSWX. Just what I noticed also before this time was fumes coming out from under the hood of the car after a long drive.',negative
'@drumma cf. the above post.',negative
'dumo: i have been doing vigil on this thread since pm waiting for oga Shagati to come and update us with pics of parts o!!With a friend like you  one doesnt need a monitoring spirit',negative
'Check our New Skoda Octavia RS Model',negative
'Osama: The grounds were all checked with the first mechanic & the present mechanic confirmed the alternator gives .- volts. Yeah the number is Q MEC - B . CODES : P  P  P  P  P  P & P.I have a TSB on this issue. Though its for FX I think you should check it out. If you cant post your email address here send it to  and Ill forward it to you. Confirm that the grounds were checked as stated in the bulletin.',negative
'Have you ever lifted the hood of your car and noticed a label calling out specifications for your mobile A/C system? Did you ever wonder why it was there? Your cars manufacturer put that label in the engine compartment in compliance with a standard set by SAE International. It is SAE â€œJâ€ standard .The label is also required by some regulatory state and federal authorities. Avoid removing this label from your car. Look closely at the label photograph above. Notice the label recommends professional service for the air conditioning system. There are two basic reasons for professional service  first a personal safety concern as the system is under pressure and can cause injury and second the refrigerant charge and refrigerant lubricant amount are critical to system performance. Notice it identifies the refrigerant in this particular vehicle as HFC-a and tells the service professional the refrigerant capacity in both ounces and grams. It also calls out the plus (+)  minus (-) tolerance  this means the sytem will still function properly within this range of over/under refrigerant charge. Look to the far right of the label  in this column the type of compressor lubricant is called out for the service technician so he knows exactly what type and how much to add to the system.',negative
'cyborg: Thumbs up. The lights have not arrived? Day too far gone. A bit of time was spent trying to remove rusted bolts. Was not in the mood anymore for cosmetics. Another day definitely',negative
'Hello Team  Please my family had a plan of buying  sienna but has been discouraged by the price a dealer advised(neighbourhood of N.M) . We saw a suggestion on-line that Nissan Quest  model can deliver similar utility like that of Sienna  more-so that its thrice cheaper than Sienna. How tenable is the above ? Many thanks.',negative
'kulikuli: ..... w coupe project loading. All advice and inputs are welcome. Only one advice from me.....dash me the car',negative
'deathwing: Ah. Still holding up at months? Yes  held up for the  months I had it till I sold in June  Lovely! What did this cost you (Nk in March ) and where is this place (Ikeja  Lagos) make i save am for future purpose? Approval is granted. Just drop somethinhg for the boys on your way out xfay: . Pls answer this In bold above',negative
'Thats good to hear your car is back to life. Try to run that car for km & see whether any lights come up again. So am left behind in this wahala now.',negative
'WHEN TO REPLACE YOUR CABIN AIR FILTER The cabin air filter is a feature found on most  model vehicles  cleans the air that comes into the interior through the heating  ventilation and air-conditioning system. It catches dust  pollen and other airborne material that can make riding in a car unpleasant  particularly if you have allergies or other respiratory problems. Manufacturer recommend every   or   miles  others longer â€” and how often can depend on how much you drive and area where there is lot of dust. Some signs that you need a new cabin air filter are reduced air flow through your climate control system  such as when you crank up the fan too high and get more noise than results. Another is persistent bad odors. Even if you dont have these warnings  you should have the filter checked at least every  month  and you may be able to do that yourself. Depending on how long the filter has been in service  you might be shocked at what you see: leaves  twigs  insects  soot and grime that literally cover the entire surface that comes in contact with incoming air and also your evaporator coil  before you know it the leaves and insect will stick on your evaporator coil after some while the coil will be weak then it will start leaking. Here is a picture of what damage the LEXUS RX evaporator  just changed it today.',negative
